Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Term,USE_THIS,Is Term,Original Sort Order,Check Fulltext,ReviewType,Project,local_filename,culled_type,culled_term,culled_date,culled_COMMENTS,missing,IS_DISS,TITLE3,TITLE3_nospace,IS_DISS_TITLE,full_auth,AUTH,IS_AUTH,IS_DISS_AUTH,pq_Title,pq_Authors,pq_documentType,pq_elecPubDate,pq_entryDate,pq_issue,pq_pages,pq_placeOfPublication,pq_pubdate,pq_pubtitle,pq_year,pq_volume,Filename,Date,Additional Pages,ReviewType.1,Chapter,Chapter_Auth,special,downloaded
6.0,A Lih,"What Are Galleries, Libraries, Archives, and Museums (GLAM) to the Wikimedia Community",2018,Leveraging Wikipedia: Connecting Communities of …,books.google.com,https://books.google.com/books?hl=en&lr=&id=hYZ8DwAAQBAJ&oi=fnd&pg=PA7&dq=%22art+feminism%22+wikipedia&ots=fZaa95xAqu&sig=P-tkPZtZJloul8TdJU0NU7o0_k4,"https://scholar.google.com/scholar?cites=15898591889814939837&as_sdt=2005&sciodt=0,5&hl=en",94.0,12/23/24 20:52,,,,,,,,,6.0,1.0,6.0,1.0,6.0," the profile of Wikipedia’s contributors. A number of efforts, such as the Art+ Feminism edit-a-thons  In 2015 Art+ Feminism staged 70 events in 17 countries and engaged more than 1300 ",,,Art+Feminism,True,TRUE,94.0,,mention,Art+Feminism,"A_Lih_What_Are_Galleries,_Libraries,_Archives,_and_Museums_(GLAM)_to_the_Wikimedia_Community.pdf",0,0,2018,read book to verify,Get Leveraging Book,False,"What Are Galleries, ","What Are Galleries,",False,A Lih,Lih,,False,,,,,,,,,,,,,,,,,,,,False
6.0,A Lockett,The traditional research paper is best,2017,BAD IDEAS,textbooks.lib.wvu.edu,http://textbooks.lib.wvu.edu/badideas/badideasaboutwriting-book.pdf#page=247,"https://scholar.google.com/scholar?cites=9157525941329292888&as_sdt=2005&sciodt=0,5&hl=en",174.0,##########,PDF,,,,,,,,6.0,1.0,6.0,1.0,7.0," source, collaborative archives like Wikipedia, which models an  Wikipedia edit-a-thons sponsored by Art+ Feminism. Research 2.0—be it delivered through a paper, ePortfolio, Wikipedia",http://textbooks.lib.wvu.edu/badideas/badideasaboutwriting-book.pdf#page=247,,Art+Feminism,True,TRUE,174.0,,mention,Art+Feminism,A_Lockett_The_traditional_research_paper_is_best.pdf,0,0,0,,,False,The traditional research ,The traditional research,False,A Lockett,Lockett,,True,,,,,,,,,,,,,,,,,,,,False
0.0,"A Lockett, RD Babcock, DA Hart","Defining Access to Undergraduate Research in Writing Studies: A Proposed Model for Increasing Support, Opportunity, and Participation",2021,"Defining Access to Undergraduate Research in Writing Studies: A Proposed Model for Increasing Support, Opportunity, and Participation",dspace.allegheny.edu,https://dspace.allegheny.edu/bitstream/10456/55843/1/2021_Winter_Hart_Defining.pdf,,363.0,##########,PDF,,,,,,,,0.0,0.0,0.0,3.0,3.0," , attention is turned to Wikipedia. Although the use of Wikipedia is typically discouraged  -a-thons sponsored by organizations like Art+Feminism, AfroCrowd, and Black Lunch Table. ",https://dspace.allegheny.edu/bitstream/10456/55843/1/2021_Winter_Hart_Defining.pdf,,Art+Feminism,True,TRUE,363.0,,mention,Art+Feminism,"A_Lockett__RD_Babcock__DA_Hart_Defining_Access_to_Undergraduate_Research_in_Writing_Studies_A_Proposed_Model_for_Increasing_Support,_Opportunity,_and_Participation.pdf",0,0,0,,,True,Defining Access to ,Defining Access to,True,A Lockett,Lockett,,True,"Defining Access to Undergraduate Research in Writing Studies: A Proposed Model for Increasing Support, Opportunity, and Participation","Lockett, Alexandria;Babcock, Rebecca Day;Hart, D Alexis", Journal Article,0, Winter 2021,2.0, 28-35, Washington,Winter 2021,Scholarship and Practice of Undergraduate Research,2021.0,5.0,,,,,,,,False
3.0,A Pawłowska,What is History of Art in the 20 th and 21 st Century–a Few Theoretical Problems,2019,"What is History of Art in the 20th and 21st
Century – a Few Theoretical Problems",otik.uk.zcu.cz,https://otik.uk.zcu.cz/handle/11025/36535,"https://scholar.google.com/scholar?cites=4133776871481556890&as_sdt=2005&sciodt=0,5&hl=en",41.0,##########,,,,,,,,,3.0,1.0,3.0,1.0,5.0, Pollock initiated a debate between the social history of art and feminism by arguing that this  of the works of art based on information found in Wikipedia. The added “bonus effect” of such ,https://otik.uk.zcu.cz/bitstream/11025/36535/1/Paw%C5%82owska.pdf,,Art and Feminism,True,TRUE,500.0,,mention,Art+Feminism,A_Pawłowska_What_is_History_of_Art_in_the_20_th_and_21_st_Century–a_Few_Theoretical_Problems.pdf,0,0,0,,,False,What is History ,What is History,False,A Pawłowska,Pawłowska,,False,,,,,,,,,,,,,,,,,,,,False
0.0,A Provo,Semantic Encyclopedias and Boolean Dreams,2022,KULA,erudit.org,https://www.erudit.org/en/journals/kula/2022-v6-n3-kula07188/1091370ar/abstract/,,281.0,##########,,,,,,,,,0.0,0.0,0.0,1.0,2.0," representational interventions such as Art + Feminism and Whose Knowledge?, among others. These initiatives ask questions like “who is editing Wikipedia articles and contributing to ",https://www.erudit.org/en/journals/kula/2022-v6-n3-kula07188/1091370ar.pdf,,Art+Feminism,True,TRUE,281.0,,mention,Art+Feminism,A_Provo_Semantic_Encyclopedias_and_Boolean_Dreams.pdf,0,0,0,,,False,Semantic Encyclopedias and ,Semantic Encyclopedias and,False,A Provo,Provo,,False,,,,,,,,,,,,,,,,,,,,False
4.0,"A Sengupta, S Bouterse, K Allmann","Build an internet for, and from, us all",2018,Nature,go.gale.com,https://go.gale.com/ps/i.do?id=GALE%7CA573206183&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00280836&p=HRCA&sw=w,"https://scholar.google.com/scholar?cites=11756879308360548795&as_sdt=2005&sciodt=0,5&hl=en",210.0,12/23/24 20:52,,,,,,,,,4.0,0.67,1.0,3.0,6.0," Grace's biography to Wikipedia so others  , Art+Feminism, Women in Red, and Dalit History Month are bringing the knowledge of women and other marginalized groups onto Wikipedia ",,,Art+Feminism,True,TRUE,210.0,,mention,Art+Feminism,"A_Sengupta__S_Bouterse__K_Allmann_Build_an_internet_for,_and_from,_us_all.pdf",mention,Art+Feminism,0,,0,False,Build an internet ,Build an internet,False,A Sengupta,Sengupta,,False,,,,,,,,,,,,,,,,,,,,False
11.0,"A Sharrocks, C Qualmann",Walking women: A study room guide on women using walking in their practice,2017,"WALKING WOMEN
A Study Room Guide on women using walking
in their practice",repository.uel.ac.uk,https://repository.uel.ac.uk/item/84wyq,"https://scholar.google.com/scholar?cites=10756443687661634856&as_sdt=2005&sciodt=0,5&hl=en",308.0,##########,,,,,,,,,11.0,2.0,6.0,2.0,7.0," Wikipedia is an important repository of shared knowledge, with its pages ranking top in google searches. But less than 10% of its  Based on the rhizomatic Art+Feminism model. ",https://repository.uel.ac.uk/download/f26f8b1a42452ac1f1cc4e140ad176a2014b76310de726517510be9cc5704f34/6590727/Qualmann-WALKING-WOMEN-A-Study-Room-Guide-on-women-using-walking-in-their-practice.pdf,,Art+Feminism,True,TRUE,308.0,,mention,Art+Feminism,A_Sharrocks__C_Qualmann_Walking_women_A_study_room_guide_on_women_using_walking_in_their_practice.pdf,0,0,0,,,False,Walking women: A ,Walking women: A,False,A Sharrocks,Sharrocks,,False,,,,,,,,,,,,,,,,,,,,False
2.0,"A Stinson, J Evans",Bringing Wiki (p/m) edians into the Conversation at Libraries,2018,"""Leveraging Wikipedia: Connecting Communities of Knowledge""",books.google.com,https://books.google.com/books?hl=en&lr=&id=hYZ8DwAAQBAJ&oi=fnd&pg=PA31&dq=%22art+feminism%22+wikipedia&ots=fZaa95xBnp&sig=v3cCo-lFDnWUXyGKfliH_VF4or8,"https://scholar.google.com/scholar?cites=2753634160589909630&as_sdt=2005&sciodt=0,5&hl=en",139.0,##########,,,,,,,,,2.0,0.0,1.0,2.0,6.0," A number of projects since 2015 have shown a continuous ability to bring repeated attention and participation from large communities, including Art+ Feminism, Black Lunch Table and ",https://upload.wikimedia.org/wikipedia/commons/c/c7/Bringing_Wikimedians_into_the_Conversation_at_Libraries.pdf,,Art+Feminism,True,TRUE,139.0,,mention,Art+Feminism,A_Stinson__J_Evans_Bringing_Wiki_(pm)_edians_into_the_Conversation_at_Libraries.pdf,0,0,##,,,False,Bringing Wiki (p/m) ,Bringing Wiki (p/m),False,A Stinson,Stinson,,False,,,,,,,,,,,,,,,,,,,,False
0.0,AD Purcell,"IAWA Archivist's Report, 2018",2018,"IAWA Archivist’s Report, January-December 2018",vtechworks.lib.vt.edu,https://vtechworks.lib.vt.edu/items/2ab3b454-f4cc-482c-ac37-ba55a2330e3b,,182.0,##########,,,,,,,,,0.0,0.0,0.0,1.0,6.0," Rebecca Fitzsimmons and Jade Snelling hosted an Art+Feminism Wikipedia Edit-aThon on March 28, 2018 in collaboration with the VT Women’s Center and the VT Library Open ",https://vtechworks.lib.vt.edu/bitstreams/960ba1a3-527f-4273-87d1-1fec517da75f/download,,Art+Feminism,True,TRUE,182.0,,mention,Art+Feminism,"AD_Purcell_IAWA_Archivists_Report,_2018.pdf",0,0,0,,,False,"IAWA Archivist's Report, ","IAWA Archivist's Report,",False,AD Purcell,Purcell,,False,,,,,,,,,,,,,,,,,,,,False
0.0,AM Kermarrec,W comme Wikipédia,2021,Hors collection,shs.cairn.info,https://shs.cairn.info/article/OJ_KERMA_2021_01_0181,,418.0,12/23/24 20:52,,,,,,,,,0.0,0.0,0.0,1.0,3.0," permettant de collaborer rapidement sur Internet (wiki veut dire « rapide » en hawaïen).  De nombreuses associations (dont Art + Feminism, qui organise des événements dans les ",,,Art+Feminism,True,TRUE,418.0,,mention,Art+Feminism,AM_Kermarrec_W_comme_Wikipédia.pdf,0,0,0,need PDF to verify,no CUNY,False,W comme Wikipédia,W comme Wikipédi,False,AM Kermarrec,Kermarrec,,False,,,,,,,,,,,,,,,,,,,,False
0.0,"B Madden, A Scholten",Cookbook of Remote and Hybrid Instructional Strategies in Art History,2020,"Cookbook of Remote and Hybrid
Instructional Strategies in Art History",knowledge.uchicago.edu,https://knowledge.uchicago.edu/record/2928?v=pdf,,215.0,##########,,,,,,,,,0.0,0.0,0.0,2.0,4.0," 2020 create and edit underdeveloped Wikipedia pages related to Hittitology Wikipedia editing as part of art history assignments, including under the umbrella of Art+Feminism Wikipedia ",https://knowledge.uchicago.edu/record/2928/files/VRC%20Cookbook%20of%20Remote%20Hybrid%20Instructional%20Strategies%20in%20Art%20History.pdf,,Art+Feminism,True,TRUE,215.0,,mention,Art+Feminism,B_Madden__A_Scholten_Cookbook_of_Remote_and_Hybrid_Instructional_Strategies_in_Art_History.pdf,0,0,0,,,False,Cookbook of Remote ,Cookbook of Remote,False,B Madden,Madden,,False,,,,,,,,,,,,,,,,,,,,False
0.0,"B Melis, M Fioravanti, C Paolini, D Metilli",How have you modelled my gender? Reconstructing the history of gender representation in Wikidata,2024,Internet Histories,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/24701475.2024.2431798,,266.0,##########,,10.1080/24701475.2024.2431798,,,,,,,0.0,0.0,0.0,4.0,1.0, Art + FeminismFootnote 20 organises edit-a-thons that empower participants to enhance  and gender diverse people on platforms such as Wikipedia and Wikidata. Whose Knowledge?,https://www.tandfonline.com/doi/pdf/10.1080/24701475.2024.2431798,,Art+Feminism,True,TRUE,266.0,,mention,Art+Feminism,B_Melis__M_Fioravanti__C_Paolini__D_Metilli_How_have_you_modelled_my_gender_Reconstructing_the_history_of_gender_representation_in_Wikidata.pdf,0,0,0,,,False,How have you ,How have you,False,B Melis,Melis,,True,,,,,,,,,,,,,,,,,,,,False
0.0,BM Koteeswaran,Bridging the Gender Gap,2021,Bridging the Gender Gap,upload.wikimedia.org,https://upload.wikimedia.org/wikipedia/commons/3/30/A_report_on_Bridging_the_Gender_Gap_in_Indian_Language_Wikimedia_Communities.pdf,,204.0,##########,PDF,,,,,,,,0.0,0.0,0.0,1.0,3.0," Women In Red, Art+Feminism, Wiki Loves Women, Wiki 6 7  problems faced by women in Wikipedia), Wikimedia  global events such as Wiki Loves Folklore and Wiki Loves Love 2019. ",https://upload.wikimedia.org/wikipedia/commons/3/30/A_report_on_Bridging_the_Gender_Gap_in_Indian_Language_Wikimedia_Communities.pdf,,Art+Feminism,True,TRUE,204.0,,mention,Art+Feminism,BM_Koteeswaran_Bridging_the_Gender_Gap.pdf,0,Art+Feminism,0,,,False,Bridging the Gender ,Bridging the Gender,False,BM Koteeswaran,Koteeswaran,,False,,,,,,,,,,,,,,,,,,,,False
0.0,BM Smith Flores,Decolonial Perspectives: Insights from Afro-Latin Museological Practice,2023,Insights from Afro-Latin Museological Practice,escholarship.org,https://escholarship.org/uc/item/17j4k2wb,,354.0,##########,,,,,,,,,0.0,0.0,0.0,1.0,1.0," an event, Art + Feminism: Wikipedia Edit-a-thon, where museum guests, artists, and scholars collectively came together to edit, address structural imbalances on Wikipedia, and improve ",https://escholarship.org/content/qt17j4k2wb/qt17j4k2wb_noSplash_48c9e619064ff72384f136e3adf18ceb.pdf,,Art+Feminism,True,TRUE,354.0,,mention,Art+Feminism,BM_Smith_Flores_Decolonial_Perspectives_Insights_from_Afro-Latin_Museological_Practice.pdf,0,0,0,Dissertation,,True,Decolonial Perspectives: Insights ,Decolonial Perspectives: Insights,True,BM Smith Flores,Flores,,True,Decolonial Perspectives: Insights From Afro-Latin Museological Practice,"Smith Flores, Brisa Marie", Dissertation/Thesis,0, 2023,0.0,0,0,2023,ProQuest Dissertations and Theses,2023.0,0.0,,,,,,,,False
0.0,BOB KOSOVSKY,"THERESA EMBREY is the chief librarian at the Pritzker Military Museum &Library. She has written articles and given conference presentations on history, genealogy …",2018,… Wikipedia: Connecting Communities of …,books.google.com,https://books.google.com/books?hl=en&lr=&id=hYZ8DwAAQBAJ&oi=fnd&pg=PA241&dq=%22art+feminism%22+wikipedia&ots=fZaa95xBnp&sig=Xk59AuEnhS4DRq9sk0ma9WZbzvw,,133.0,12/23/24 20:52,,,,,,,,,0.0,0.0,0.0,1.0,6.0, for Wiki education at Wikipedia. With more than seven years’ experience in running programs connecting Wikipedia  on teaching with Wikipedia. She has played a pivotal role in creating ,,,Art+Feminism,True,,133.0,,mention,Art+Feminism,"BOB_KOSOVSKY_THERESA_EMBREY_is_the_chief_librarian_at_the_Pritzker_Military_Museum_&Library._She_has_written_articles_and_given_conference_presentations_on_history,_genealogy_....pdf",0,0,2018,read book to verify,Get Leveraging Book,False,THERESA EMBREY is ,THERESA EMBREY is,False,BOB KOSOVSKY,KOSOVSKY,,False,,,,,,,,,,,,,,,,,,,,False
1.0,C Ball,Using Wikipedia to explore issues of systemic bias and symbolic annihilation in information sources,2021,"Using Wikipedia to Explore Issues of Systemic Bias and
Symbolic Annihilation in Information Sources. Caroline Ball",repository.derby.ac.uk,https://repository.derby.ac.uk/item/92202/using-wikipedia-to-explore-issues-of-systemic-bias-and-symbolic-annihilation-in-information-sources,"https://scholar.google.com/scholar?cites=10601968601846002701&as_sdt=2005&sciodt=0,5&hl=en",183.0,##########,,,,,,,,,1.0,0.0,1.0,1.0,3.0, increase the number of female subjects in Wikipedia’s biographies (which has improved from 15% to 18% since the project began). Art+Feminism works to improve coverage of articles ,https://repository.derby.ac.uk/download/5a72490d325eb3f5d0fd1d141e674b38a9198af61db632b6a59659a3b47f2278/224562/using%20wikipedia.pdf,,Art+Feminism,True,TRUE,183.0,,mention,Art+Feminism,C_Ball_Using_Wikipedia_to_explore_issues_of_systemic_bias_and_symbolic_annihilation_in_information_sources.pdf,0,0,0,,,True,Using Wikipedia to ,Using Wikipedia to,True,C Ball,Ball,,True,"From “Don’t Use It” to “Let’s Edit!”: Using Wikipedia to Teach the ARLIS/NA <i>Art, Architecture, and Design Information Competencies</i>","Baron, Courtney", Journal Article,0, Sep 2020,2.0, 219-238, Chicago,Sep 2020,Art Documentation : Bulletin of the Art Libraries Society of North America,2020.0,39.0,,,,,,,,False
0.0,"C Baron, M Schoen",Rethinking Visual Resources Centers in the Digital Age: Case Studies at the University of Georgia and the University of Michigan,2014,ThinkIR: The Univ ThinkIR: The University of Louisville ersity of Louisville's Institutional Reposit s Institutional Repository,ir.library.louisville.edu,https://ir.library.louisville.edu/faculty/776/,,291.0,##########,,,,,,,,,0.0,0.0,0.0,2.0,10.0," We partnered together to host Athens, GA as a satellite location for the 2015 Art + Feminism Wikipedia Edit-a-thon, an event that was such a success that we have decided to host it ",https://ir.library.louisville.edu/cgi/viewcontent.cgi?article=1786&context=faculty,,Art+Feminism,True,TRUE,291.0,,mention,Art+Feminism,C_Baron__M_Schoen_Rethinking_Visual_Resources_Centers_in_the_Digital_Age_Case_Studies_at_the_University_of_Georgia_and_the_University_of_Michigan.pdf,0,0,0,,,False,Rethinking Visual Resources ,Rethinking Visual Resources,False,C Baron,Baron,,True,,,,,,,,,,,,,,,,,,,,False
0.0,"C BARON, O ECKERT",The Kentucky Women Artists Timeline: THE UOFL MARGARET M. BRIDWELL ART LIBRARY AND THE KENTUCKY FOUNDATION FOR WOMEN COLLABORATE TO …,2021,Kentucky Libraries,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=07325452&AN=152324739&h=TPzrQ29m92xS0pDrB2eYsk6geGdE4Su2FllQr1oAnL0%2B3%2BqYvFafuLqVQ8WlXAaqqBaPf1CzANY0b%2BlsYUwfww%3D%3D&crl=c,,171.0,12/23/24 20:52,,,,,,,,,0.0,0.0,0.0,2.0,3.0, The nonprofit Art+Feminism has led the way in closing gaps  Data analysis tools have shown that Wikipedia contains  articles on Wikipedia through events sponsored by Art+Feminism. ,,,Art+Feminism,True,TRUE,171.0,,mention,Art+Feminism,C_BARON__O_ECKERT_The_Kentucky_Women_Artists_Timeline_THE_UOFL_MARGARET_M._BRIDWELL_ART_LIBRARY_AND_THE_KENTUCKY_FOUNDATION_FOR_WOMEN_COLLABORATE_TO_....pdf,0,0,0,need PDF to verify,Institutional login,False,The Kentucky Women ,The Kentucky Women,False,C BARON,BARON,,True,,,,,,,,,,,,,,,,,,,,False
34.0,C Bjork-James,New maps for an inclusive Wikipedia: decolonial scholarship and strategies to counter systemic bias,2021,New Review of Hypermedia and Multimedia,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/13614568.2020.1865463?casa_token=XrhPSZ43L4YAAAAA:e9RE0X7aapnm1AiBVLHXLcyI-LyifIp-HWUtFtuDHsGOz0lnPIBLX4EQtNneqDOd61E-8gcXPFZqTm4,"https://scholar.google.com/scholar?cites=9221780920111483526&as_sdt=2005&sciodt=0,5&hl=en",103.0,12/23/24 20:52,,10.1080/13614568.2020.1865463,,,,,,,34.0,11.33,34.0,1.0,3.0," Initiatives such as AfroCROWD, Women in Red, and the Art + Feminism edit-a-thons focus on “content gaps,” such as gender, racial, and national disparities in the number of ",https://www.tandfonline.com/doi/pdf/10.1080/13614568.2020.1865463?casa_token=QMfB2tbENJkAAAAA:WcNUHptIyRjzb7o7p5Msz9gMHNw_nMufVedgNg7wAxOqMJ0OJ10ZD-yYIk1OXmUNtiCCclD1T3nGKDM,,Art+Feminism,True,TRUE,103.0,,mention,Art+Feminism,C_Bjork-James_New_maps_for_an_inclusive_Wikipedia_decolonial_scholarship_and_strategies_to_counter_systemic_bias.pdf,0,0,0,need PDF to verify,no CUNY,False,New maps for ,New maps for,False,C Bjork-James,Bjork-James,,False,,,,,,,,,,,,,,,,,,,,False
2.0,C Korsmeyer,Efervescencias salvajes: una mirada retrospectiva al arte feminista,2018,Anales de Historia del Arte,core.ac.uk,https://core.ac.uk/download/pdf/162288441.pdf,"https://scholar.google.com/scholar?cites=15361939182228787539&as_sdt=2005&sciodt=0,5&hl=en",422.0,##########,PDF,,,,,,,,2.0,0.0,2.0,1.0,6.0," En 2017, Wikipedia añadió entradas de más de 6500 mujeres artistas a sus referencias.  de investigadores implicados en los que denominaron Art+Feminism Wikipedia Edit-a-Thon7. ",https://core.ac.uk/download/pdf/162288441.pdf,,Art+Feminism,True,TRUE,422.0,,mention,Art+Feminism,C_Korsmeyer_Efervescencias_salvajes_una_mirada_retrospectiva_al_arte_feminista.pdf,0,0,0,,,True,Efervescencias salvajes: una ,Efervescencias salvajes: una,True,C Korsmeyer,Korsmeyer,,True,Efervescencias salvajes: una mirada retrospectiva al arte feminista,"Korsmeyer, Carolyn", Journal Article, 2018-09-25, 2018,0.0, 29-58, Madrid,2018,Anales de Historia del Arte,2018.0,28.0,,,,,,,,False
1.0,C Korsmeyer,Wild effervescences: a retrospective look at feminist art,2018,Anales de Historia del Arte,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/bcaf/a0de72d7f3e95e09b0be4947efb5bec6849f.pdf,"https://scholar.google.com/scholar?cites=582226976170927875&as_sdt=2005&sciodt=0,5&hl=en",32.0,##########,PDF,,,,,,,,1.0,0.0,1.0,1.0,6.0," In 2017, Wikipedia added entries for over 6,500 women artists  in what they termed the Art+Feminism Wikipedia Edit-a-Thon4 Narrowing gender gap, Wikipedia Edit-a-Thon writes 6,500 ",https://pdfs.semanticscholar.org/bcaf/a0de72d7f3e95e09b0be4947efb5bec6849f.pdf,,Art+Feminism,True,TRUE,32.0,,mention,Art+Feminism,C_Korsmeyer_Wild_effervescences_a_retrospective_look_at_feminist_art.pdf,0,0,0,,,False,Wild effervescences: a ,Wild effervescences: a,False,C Korsmeyer,Korsmeyer,,True,,,,,,,,,,,,,,,,,,,,False
0.0,C Wolifson,"Patriotism, patriarchy and politics",2015,Art Monthly Australia,search.informit.org,https://search.informit.org/doi/abs/10.3316/informit.609451354328937,,158.0,##########,,10.3316/informit.609451354328937,,,,,,,0.0,0.0,0.0,1.0,9.0, This included a reprisal of Art+Feminism’s ‘Wikipedia Edit-athon’ in which contributors seek to redress the gender imbalances within the global information repository. The program took ,https://search.proquest.com/openview/8fb6dc42ec4669990cfdba4286f863b2/1?pq-origsite=gscholar&cbl=886360&casa_token=AY5MuaUshFQAAAAA:K7UBhBq3yTpwnnal5ey9C5wl1u9tVVtdMleaWMIAmW0djnQywyOdZ5_ggrdDjQpx7d1--TFYhw,,Art+Feminism,True,TRUE,158.0,,mention,Art+Feminism,"C_Wolifson_Patriotism,_patriarchy_and_politics.pdf",0,0,0,,,True,"Patriotism, patriarchy and ","Patriotism, patriarchy and",True,C Wolifson,Wolifson,,True,"Patriotism, patriarchy and politics: 2015 feminism in context","Wolifson, Chloé", General Information,0, Summer 2015/2016,286.0," 68-72,8", Acton,Summer 2015/2016,Art Monthly Australia,2015.0,0.0,,,,,,,,False
0.0,D Alemany,Making women's history matter: Female presence in and through Wikipedia,2017,"Making women’s history matter: Female presence in and through
Wikipedia ",rua.ua.es,https://rua.ua.es/dspace/handle/10045/68854,,33.0,##########,,,,,,,,,0.0,0.0,0.0,1.0,7.0," of Wikipedia exists among others, ie racial bias, social bias. The purpose of this article is to explore the gender gap (aka gender bias) of Wikipedia  “2017 Art+Feminism Wikipedia Edita-",https://rua.ua.es/dspace/bitstream/10045/68854/1/2017_Alemany_etal_Making-womens-history-matter.pdf,,Art+Feminism,True,TRUE,33.0,,mention,Art+Feminism,D_Alemany_Making_womens_history_matter_Female_presence_in_and_through_Wikipedia.pdf,0,0,0,,,False,Making women's history ,Making women's history,False,D Alemany,Alemany,,False,,,,,,,,,,,,,,,,,,,,False
71.0,"D Howard, L Irani",Ways of knowing when research subjects care,2019,Proceedings of the 2019 CHI Conference on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3290605.3300327,"https://scholar.google.com/scholar?cites=1780525877763897176&as_sdt=2005&sciodt=0,5&hl=en",217.0,##########,,10.1145/3290605.3300327,,,,,,,71.0,14.0,36.0,2.0,5.0," From 2013-2015, I worked with others to organize many such events, including a series of international edit-a-thons called ‘Wiki Loves Pride,’ and ‘Art+Feminism,’ presenting at ",https://dl.acm.org/doi/pdf/10.1145/3290605.3300327,,Art+Feminism,True,TRUE,217.0,,mention,Art+Feminism,D_Howard__L_Irani_Ways_of_knowing_when_research_subjects_care.pdf,0,0,##,,,False,Ways of knowing ,Ways of knowing,False,D Howard,Howard,,False,,,,,,,,,,,,,,,,,,,,False
3.0,"D Metilli, C Paolini",Non-binary Gender Representation in Wikidata,2023,Non-binary Gender Representation in Wikidata,wikidataworkshop.github.io,https://wikidataworkshop.github.io/2023/papers/17__published_non_binary_gender_r%5B1%5D.pdf,"https://scholar.google.com/scholar?cites=7300354437193564857&as_sdt=2005&sciodt=0,5&hl=en",285.0,##########,PDF,,,,,,,,3.0,3.0,2.0,2.0,1.0," Diversity Observatory, a project that tracks the content gaps that are present in Wikipedia,  gender diversity such as Wikiproject LGBT, and Art+Feminism.However, given the wide scale ",https://wikidataworkshop.github.io/2023/papers/17__published_non_binary_gender_r%5B1%5D.pdf,,Art+Feminism,True,TRUE,285.0,,mention,Art+Feminism,D_Metilli__C_Paolini_Non-binary_Gender_Representation_in_Wikidata.pdf,0,0,0,,,False,Non-binary Gender Representation ,Non-binary Gender Representation,False,D Metilli,Metilli,,False,,,,,,,,,,,,,,,,,,,,False
0.0,"D Ramírez-Ordóñez, N Ferran-Ferrer, J Meneses","Wikipedia and gender: The deleted, the marked, and the unpolluted biographies",2022,"Wikipedia and gender: The deleted, the marked, and the
unpolluted biographies",wikiworkshop.org,https://wikiworkshop.org/2022/papers/WikiWorkshop2022_paper_27.pdf,,104.0,##########,PDF,,,,,,,,0.0,0.0,0.0,3.0,2.0," says that Wikipedia has no firm rules. We can get a sense of the complexity in Wikipedia, but we’ll  Within the Wikipedia Community, researchers from Art+Feminism studied the English, ",https://wikiworkshop.org/2022/papers/WikiWorkshop2022_paper_27.pdf,,Art+Feminism,True,TRUE,104.0,,mention,Art+Feminism,"D_Ramírez-Ordóñez__N_Ferran-Ferrer__J_Meneses_Wikipedia_and_gender_The_deleted,_the_marked,_and_the_unpolluted_biographies.pdf",0,0,0,,,False,Wikipedia and gender: ,Wikipedia and gender:,False,D Ramírez-Ordóñez,Ramírez-Ordóñez,,False,,,,,,,,,,,,,,,,,,,,False
3.0,"D Robichaud, K McCracken",Doing the work: Editing Wikipedia as an act of reconciliation,2018,"Doing the work: Editing Wikipedia as an
act of reconciliation",uwspace.uwaterloo.ca,https://uwspace.uwaterloo.ca/handle/10012/14198,"https://scholar.google.com/scholar?cites=16751523739181601790&as_sdt=2005&sciodt=0,5&hl=en",114.0,##########,,,,,,,,,3.0,1.0,2.0,2.0,6.0," Wikipedia as a site of reconciliation. Some have explored the potential of diversifying Wikipedia  3​; 4​), and movements such as​​Art+Feminism​ have positioned editing Wikipedia ",https://uwspace.uwaterloo.ca/bitstream/handle/10012/14198/Robichaud-McCracken-DoingTheWork.pdf?sequence=1,,Art+Feminism,True,TRUE,114.0,,mention,Art+Feminism,D_Robichaud__K_McCracken_Doing_the_work_Editing_Wikipedia_as_an_act_of_reconciliation.pdf,0,0,0,,,False,Doing the work: ,Doing the work:,False,D Robichaud,Robichaud,,False,,,,,,,,,,,,,,,,,,,,False
